Candidate,Party,First_pref_count,First_pref_pct,Quota,Elected_on_Count,Status,Gender,Election_date,Electorate,number_of_candidates,seats_available,constituency_name,constituency_name_as_Gaeilge,quota,Outgoing,Seat
Des O'Malley,Progressive Democrats,8304,0.17170000000000002,1.03,1,Made Quota,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,TD,
Jim Kemmy,Labour,8262,0.1709,1.03,1,Made Quota,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,TD,
Michael Noonan,Fine Gael,5437,0.1124,0.67,11,Made Quota,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,TD,
Peadar Clohessy,Progressive Democrats,4334,0.08960000000000001,0.54,12,Elected,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,TD,
Eddie Wade,Fianna Fail,3637,0.07519999999999999,0.45,0,Eliminated,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
Jan O'Sullivan,Labour,3091,0.0639,0.38,0,Eliminated,Female,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
Mary Jackman,Fine Gael,2110,0.0436,0.26,0,Eliminated,Female,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
John Ryan,Democratic Left,835,0.0173,0.10,0,Unknown,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
Joe Harrington,Non party/Independent,370,0.0077,0.05,0,Unknown,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
Augustine Dr Moore,Non party/Independent,463,0.0096,0.06,0,Unknown,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
Tom Clancy,Sinn Féin,400,0.0083,0.05,0,Unknown,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
Jude Williams,Non party/Independent,118,0.0024,0.01,0,Unknown,Male,1992-11-25,71136,13,5,Limerick East,Luimneach Thoir,8059,,
Gerry Collins,Fianna Fail,10913,0.34299999999999997,1.37,1,Made Quota,Male,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,TD,
Michael J Noonan,Fianna Fail,4173,0.13119999999999998,0.52,7,Made Quota,Male,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,TD,
Michael Finucane,Fine Gael,5164,0.1623,0.65,7,Elected,Male,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,TD,
Dan Neville,Fine Gael,4657,0.1464,0.59,0,Eliminated,Male,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,,
Mary Kelly,Labour,3447,0.10830000000000001,0.43,0,Eliminated,Female,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,,
Seán Liston,Progressive Democrats,2343,0.0736,0.29,0,Eliminated,Male,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,,
Bridget Randles,Non party/Independent,645,0.0203,0.08,0,Unknown,Female,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,,
Coireall MacCurtain,Sinn Féin,346,0.0109,0.04,0,Unknown,Male,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,,
John B Fitzgibbon,Non party/Independent,129,0.0040999999999999995,0.02,0,Unknown,Male,1992-11-25,44848,9,3,Limerick West,Luimneach Thiar,7955,,
Michael Bell,Labour,9608,0.221,1.11,1,Made Quota,Male,1992-11-25,65896,12,4,Louth,Lu,8695,TD,1
Dermot Ahern,Fianna Fail,7704,0.1772,0.89,8,Made Quota,Male,1992-11-25,65896,12,4,Louth,Lu,8695,TD,2
Seamus Kirk,Fianna Fail,6602,0.1519,0.76,9,Made Quota,Male,1992-11-25,65896,12,4,Louth,Lu,8695,TD,3
Brendan McGahon,Fine Gael,6672,0.1535,0.77,9,Elected,Male,1992-11-25,65896,12,4,Louth,Lu,8695,TD,4
Henry Mountcharles,Fine Gael,4161,0.09570000000000001,0.48,0,Eliminated,Male,1992-11-25,65896,12,4,Louth,Lu,8695,,
Tommy Murphy,Fianna Fail,3853,0.0886,0.44,0,Eliminated,Male,1992-11-25,65896,12,4,Louth,Lu,8695,,
Thomas Bellew,Non party/Independent,1603,0.0369,0.18,0,Unknown,Male,1992-11-25,65896,12,4,Louth,Lu,8695,,
Seán Kenna,Sinn Féin,1289,0.0297,0.15,0,Unknown,Male,1992-11-25,65896,12,4,Louth,Lu,8695,,
Maimie Ahern,Non party/Independent,1017,0.023399999999999997,0.12,0,Unknown,Female,1992-11-25,65896,12,4,Louth,Lu,8695,,
Tommy Murtagh,Sinn Féin,416,0.0096,0.05,0,Unknown,Male,1992-11-25,65896,12,4,Louth,Lu,8695,,
Dessie Taaffe,Non party/Independent,296,0.0068000000000000005,0.03,0,Unknown,Male,1992-11-25,65896,12,4,Louth,Lu,8695,,
Peter Short,Workers',249,0.005699999999999999,0.03,0,Unknown,Male,1992-11-25,65896,12,4,Louth,Lu,8695,,
Jim Higgins,Fine Gael,7631,0.2605,1.04,1,Made Quota,Male,1992-11-25,43449,6,3,Mayo East,(Connaught),7325,TD,1
Tom Moffatt,Fianna Fail,6639,0.2266,0.91,3,Made Quota,Male,1992-11-25,43449,6,3,Mayo East,(Connaught),7325,,2
P J Morley,Fianna Fail,5693,0.1943,0.78,3,Elected,Male,1992-11-25,43449,6,3,Mayo East,(Connaught),7325,TD,3
Ernie Caffrey,Fine Gael,5733,0.1957,0.78,(3),Not Elected,Male,1992-11-25,43449,6,3,Mayo East,(Connaught),7325,,
Paddy Oliver,Fianna Fail,2514,0.0858,0.34,(2),Eliminated,Male,1992-11-25,43449,6,3,Mayo East,(Connaught),7325,,
Mary Reilly,Non party/Independent,1089,0.037200000000000004,0.15,(1),Lost Deposit,Female,1992-11-25,43449,6,3,Mayo East,(Connaught),7325,,
Padraig Flynn,Fianna Fail,9629,0.3247,1.30,1,Made Quota,Male,1992-11-25,43472,6,3,Mayo West,(Connaught),7415,TD,1
Enda Kenny,Fine Gael,6210,0.2094,0.84,4,Made Quota,Male,1992-11-25,43472,6,3,Mayo West,(Connaught),7415,TD,2
Seamus Hughes,Fianna Fail,4401,0.1484,0.59,4,Elected,Male,1992-11-25,43472,6,3,Mayo West,(Connaught),7415,,3
Michael Ring,Fine Gael,5136,0.1732,0.69,(4),Not Elected,Male,1992-11-25,43472,6,3,Mayo West,(Connaught),7415,,
Paraic Cosgrove,Non party/Independent,3478,0.1173,0.47,(3),Eliminated,Male,1992-11-25,43472,6,3,Mayo West,(Connaught),7415,,
Michael Goonan,Fianna Fail,803,0.0271,0.11,(2),Lost Deposit,Male,1992-11-25,43472,6,3,Mayo West,(Connaught),7415,,
Noel Dempsey,Fianna Fail,9196,0.18,1.08,1,Made Quota,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,TD,1
Brian Fitzgerald,Labour,8967,0.17550000000000002,1.05,1,Made Quota,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,,2
John Bruton,Fine Gael,8402,0.16449999999999998,0.99,3,Made Quota,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,TD,3
Mary Wallace,Fianna Fail,6132,0.12,0.72,11,Elected,Female,1992-11-25,78083,13,5,Meath,An Mhi,8514,TD,4
Colm Hilliard,Fianna Fail,5813,0.11380000000000001,0.68,11,Elected,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,TD,5
John V Farrelly,Fine Gael,5124,0.1003,0.60,(11),Not Elected,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,TD,
Jack Fitzsimons,Non party/Independent,1477,0.028900000000000002,0.17,(10),Eliminated,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,,
Frances Monaghan,Fianna Fail,1885,0.0369,0.22,(9),Eliminated,Female,1992-11-25,78083,13,5,Meath,An Mhi,8514,,
Caroline Mhic Daeid,Progressive Democrats,1135,0.0222,0.13,(8),Lost Deposit,Female,1992-11-25,78083,13,5,Meath,An Mhi,8514,,
Christy Gorman,Democratic Left,809,0.0158,0.10,(7),Lost Deposit,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,,
Brendan Cleary,Non party/Independent,852,0.0167,0.10,(6),Lost Deposit,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,,
Anne McCormack,Green/Comhaontas Glas,650,0.0127,0.08,(5),Lost Deposit,Female,1992-11-25,78083,13,5,Meath,An Mhi,8514,,
Joe Reilly,Sinn Féin,641,0.0125,0.08,(4),Lost Deposit,Male,1992-11-25,78083,13,5,Meath,An Mhi,8514,,
Matt Brennan,Fianna Fail,6791,0.1589,0.79,4,Made Quota,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,TD,
Declan Bree,Labour,7328,0.17149999999999999,0.86,4,Made Quota,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,,
John Ellis,Fianna Fail,7430,0.1739,0.87,5,Made Quota,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,TD,
Ted Nealon,Fine Gael,6622,0.155,0.77,6,Elected,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,TD,
Gerry Reynolds,Fine Gael,6348,0.14859999999999998,0.74,0,Eliminated,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,TD,
Gerry Healy,Fianna Fail,5270,0.1233,0.62,0,Eliminated,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,,
John McGettrick,Non party/Independent,1560,0.0365,0.18,0,Unknown,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,,
Seán MacManus,Sinn Féin,1311,0.030699999999999998,0.15,0,Unknown,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,,
Patrick D Melly,Non party/Independent,73,0.0017000000000000001,0.01,0,Unknown,Male,1992-11-25,60764,9,4,Sligo Leitrim,Sligeach Liatroim,8547,,
Michael Smith,Fianna Fail,8156,0.2563,1.03,1,Made Quota,Male,1992-11-25,42754,6,3,Tipperary North,Tiobraid Arann Thuaidh,7957,TD,1
Michael Lowry Snr,Fine Gael,7401,0.23260000000000003,0.93,3,Made Quota,Male,1992-11-25,42754,6,3,Tipperary North,Tiobraid Arann Thuaidh,7957,TD,2
John J Ryan,Labour,7240,0.2275,0.91,4,Made Quota,Male,1992-11-25,42754,6,3,Tipperary North,Tiobraid Arann Thuaidh,7957,,3
Michael O'Kennedy,Fianna Fail,7113,0.2235,0.89,(4),Not Elected,Male,1992-11-25,42754,6,3,Tipperary North,Tiobraid Arann Thuaidh,7957,TD,
Tom Ryan,Fine Gael,1533,0.0482,0.19,(2),Lost Deposit,Male,1992-11-25,42754,6,3,Tipperary North,Tiobraid Arann Thuaidh,7957,,
Jimmy Nolan,Sinn Féin,382,0.012,0.05,(1),Lost Deposit,Male,1992-11-25,42754,6,3,Tipperary North,Tiobraid Arann Thuaidh,7957,,
Brian O'Shea,Labour,11235,0.2614,1.31,1,Made Quota,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,TD,1
Austin Deasy,Fine Gael,7723,0.1797,0.90,4,Made Quota,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,TD,2
Brendan Kenneally,Fianna Fail,6793,0.158,0.79,7,Elected,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,TD,3
Martin Cullen,Progressive Democrats,4015,0.0934,0.47,7,Elected,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,,4
Jackie Fahey,Fianna Fail,5410,0.1259,0.63,(7),Not Elected,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,TD,
Martin O'Regan,Workers',3000,0.0698,0.35,(6),Eliminated,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,,
Maurice Cummins,Fine Gael,1788,0.0416,0.21,(5),Eliminated,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,,
Paddy Gallagher,Democratic Left,1039,0.0242,0.12,(4),Lost Deposit,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,,
Tony Scott,Non party/Independent,1312,0.0305,0.15,(3),Lost Deposit,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,,
Denis O'Brien,Sinn Féin,511,0.011899999999999999,0.06,(2),Lost Deposit,Male,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,,
Breda Hayden,Non party/Independent,161,0.0037,0.02,(2),Lost Deposit,Female,1992-11-25,64037,11,4,Waterford,Port Lairge,8598,,
Brendan Howlin,Labour,10338,0.19820000000000002,1.19,1,Made Quota,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,TD,1
Ivan Yates,Fine Gael,7043,0.135,0.81,5,Made Quota,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,TD,2
John Browne,Fianna Fail,8407,0.1611,0.97,5,Made Quota,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,TD,3
Avril Doyle,Fine Gael,5314,0.10189999999999999,0.61,6,Made Quota,Female,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,,4
Hugh Byrne,Fianna Fail,7299,0.1399,0.84,8,Elected,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,,5
Seamus Cullimore,Fianna Fail,6436,0.1234,0.74,(8),Not Elected,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,TD,
Michael D'Arcy Snr,Fine Gael,5626,0.10779999999999999,0.65,(4),Eliminated,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,TD,
Michael Enright,Democratic Left,797,0.015300000000000001,0.09,(3),Lost Deposit,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,,
Michael O'Connor,Non party/Independent,502,0.0096,0.06,(2),Lost Deposit,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,,
Oliver Murray,Sinn Féin,410,0.0079,0.05,(1),Lost Deposit,Male,1992-11-25,75886,10,5,Wexford,Loch Garman,8696,,
Liam Kavanagh,Labour,11843,0.22820000000000001,1.37,1,Made Quota,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,TD,1
Joe Jacob,Fianna Fail,6475,0.12480000000000001,0.75,11,Made Quota,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,TD,2
Godfrey Timmins,Fine Gael,4612,0.0889,0.53,12,Made Quota,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,TD,3
Liz McManus,Democratic Left,5510,0.10619999999999999,0.64,12,Made Quota,Female,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,4
Johnny Fox,Non party/Independent,4749,0.0915,0.55,14,Elected,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,5
Dick Roche,Fianna Fail,5250,0.1012,0.61,(14),Not Elected,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,TD,
Shane Ross,Fine Gael,2903,0.0559,0.34,(11),Eliminated,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Thomas Honan,Fine Gael,1676,0.0323,0.19,(10),Eliminated,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Vincent McElheron,Non party/Independent,1806,0.0348,0.21,(9),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Nuala Ahern,Green/Comhaontas Glas,1346,0.0259,0.16,(8),Lost Deposit,Female,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Eamon Kane,Fianna Fail,1376,0.0265,0.16,(7),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Liam Nolan,Progressive Democrats,1367,0.0263,0.16,(6),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Pat Dunlea,Non party/Independent,1311,0.0253,0.15,(5),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
John Hartnett,Non party/Independent,906,0.0175,0.10,(4),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Ken O'Connell,Sinn Féin,299,0.0058,0.03,(3),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Frank Hayes,Workers',139,0.0027,0.02,(3),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Gerry O'Neill,Sinn Féin,179,0.0034000000000000002,0.02,(3),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Barbara Hyland,Non party/Independent,87,0.0017000000000000001,0.01,(3),Lost Deposit,Female,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Leo Armstrong,Non party/Independent,57,0.0011,0.01,(2),Lost Deposit,Male,1992-11-25,77133,19,5,Wicklow,Cill Mhantain,8649,,
Liam Aylward,Fianna Fail,11849,0.20989999999999998,1.26,1,Made Quota,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,TD,1
Phil Hogan,Fine Gael,9642,0.17079999999999998,1.02,1,Made Quota,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,TD,2
John Browne,Fine Gael,6834,0.1211,0.73,8,Elected,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,TD,3
John McGuinness,Fianna Fail,5990,0.1061,0.64,8,Elected,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,,4
Seamus Pattison,Labour,5578,0.09880000000000001,0.59,8,Elected,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,TD,5
M J Nolan,Fianna Fail,5975,0.1058,0.64,(8),Not Elected,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,TD,
Mary White,Green/Comhaontas Glas,3116,0.0552,0.33,(7),Eliminated,Female,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,,
Jim Gibbons Jnr,Progressive Democrats,3184,0.0564,0.34,(6),Eliminated,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,,
Jim Townsend,Labour,2995,0.053099999999999994,0.32,(4),Eliminated,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,,
Michael Quinn,National Party,870,0.0154,0.09,(3),Lost Deposit,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,,
Billy Nolan,Non party/Independent,416,0.0074,0.04,(2),Lost Deposit,Male,1997-06-06,85096,11,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,9409,,
Tony Killeen,Fianna Fail,8169,0.17420000000000002,0.87,7,Made Quota,Male,1997-06-06,71491,12,4,Clare,An Clar,9378,TD,1
Sile de Valera,Fianna Fail,8025,0.1711,0.86,7,Made Quota,Female,1997-06-06,71491,12,4,Clare,An Clar,9378,TD,2
Donal Carey,Fine Gael,7781,0.1659,0.83,7,Made Quota,Male,1997-06-06,71491,12,4,Clare,An Clar,9378,TD,3
Brendan Daly,Fianna Fail,7420,0.1582,0.79,9,Elected,Male,1997-06-06,71491,12,4,Clare,An Clar,9378,Senator,4
Madeleine Taylor Quinn,Fine Gael,6325,0.1349,0.67,(9),Not Elected,Female,1997-06-06,71491,12,4,Clare,An Clar,9378,,
Mary Mannion,Progressive Democrats,3250,0.0693,0.35,(6),Eliminated,Female,1997-06-06,71491,12,4,Clare,An Clar,9378,,
Brian Meaney,Green/Comhaontas Glas,1682,0.0359,0.18,(5),Lost Deposit,Male,1997-06-06,71491,12,4,Clare,An Clar,9378,,
Bridin Twist,Labour,1684,0.0359,0.18,(4),Lost Deposit,Female,1997-06-06,71491,12,4,Clare,An Clar,9378,,
Rita O'Connor,National Party,876,0.0187,0.09,(3),Lost Deposit,Female,1997-06-06,71491,12,4,Clare,An Clar,9378,,
Brigid Makowski,Non party/Independent,944,0.020099999999999996,0.10,(2),Lost Deposit,Female,1997-06-06,71491,12,4,Clare,An Clar,9378,,
Joe Aston,Comhar Criostai/Christian Solidarity,499,0.0106,0.05,(1),Lost Deposit,Male,1997-06-06,71491,12,4,Clare,An Clar,9378,,
Michael McInerney,Non party/Independent,234,0.005,0.02,(1),Lost Deposit,Male,1997-06-06,71491,12,4,Clare,An Clar,9378,,
P J Sheehan,Fine Gael,8008,0.2288,0.92,3,Made Quota,Male,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,1
Jim O'Keeffe,Fine Gael,7454,0.213,0.85,3,Made Quota,Male,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,2
Joe Walsh,Fianna Fail,7586,0.2168,0.87,3,Elected,Male,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,3
Denis O'Donovan,Fianna Fail,6081,0.17379999999999998,0.70,(3),Not Elected,Male,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,
Michael J Calnan,Labour,2361,0.0675,0.27,(2),Eliminated,Male,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,
Theresa Heaney,National Party,1792,0.0512,0.20,(2),Lost Deposit,Female,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,
Paula Giles,Green/Comhaontas Glas,1221,0.0349,0.14,(3),Lost Deposit,Female,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,
Aine Ni Chonaill,Non party/Independent,293,0.0084,0.03,(3),Lost Deposit,Female,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,
Seán Ahern,Non party/Independent,199,0.005699999999999999,0.02,(3),Lost Deposit,Male,1997-06-06,49382,9,3,Cork South West,Corcaigh Thiar Theas,8749,,
Cecilia Keaveney,Fianna Fail,8317,0.2341,1.17,4,Made Quota,Female,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,TD,1
Harry Blaney,Independent Fianna Fail,7484,0.21059999999999998,1.05,4,Made Quota,Male,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,,1
Dr Jim McDaid,Fianna Fail,6538,0.184,0.92,5,Made Quota,Male,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,TD,2
Paddy Harte Snr,Fine Gael,4969,0.1399,0.70,(5),Not Elected,Male,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,TD,3
Pat Doherty,Sinn Féin,2881,0.08109999999999999,0.41,(3),Eliminated,Male,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,,
Seán Maloney,Labour,1948,0.0548,0.27,(3),Eliminated,Male,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,,
Jim Sheridan,Fine Gael,1735,0.048799999999999996,0.24,(2),Eliminated,Male,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,,
Jim Devenney,Non party/Independent,1657,0.0466,0.23,(1),Lost Deposit,Male,1997-06-06,52576,8,4,Donegal North East,Dun na nGall Thoir Thuaidh,7106,,
Bertie Ahern,Fianna Fail,12175,0.3406,1.70,1,Made Quota,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,TD,1
Tony Gregory,Non party/Independent,5261,0.1472,0.74,7,Made Quota,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,TD,2
Marian McGennis,Fianna Fail,3132,0.0876,0.44,10,Made Quota,Female,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,Senator,3
Jim Mitchell,Fine Gael,5185,0.1451,0.73,10,Elected,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,TD,4
Joe Costello,Labour,3035,0.0849,0.42,(10),Not Elected,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,TD,
Christy Burke,Sinn Féin,2377,0.0665,0.33,(9),Eliminated,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Michael Conaghan,Non party/Independent,1343,0.037599999999999995,0.19,(8),Lost Deposit,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Ciaran Cuffe,Green/Comhaontas Glas,1253,0.0351,0.18,(6),Lost Deposit,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Vincent Jackson,Non party/Independent,650,0.0182,0.09,(5),Lost Deposit,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Linda Kavanagh,Workers',509,0.014199999999999999,0.07,(5),Lost Deposit,Female,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Eamonn Murphy,Non party/Independent,432,0.0121,0.06,(4),Lost Deposit,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Kevin Devlin,Non party/Independent,307,0.0086,0.04,(3),Lost Deposit,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Patrick Shelly,Non party/Independent,39,0.0011,0.01,(2),Lost Deposit,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Aidan Walsh,Non party/Independent,43,0.0012,0.01,(2),Lost Deposit,Male,1997-06-06,64073,14,4,Dublin Central,Baile Atha Cliath Lar,7149,,
Ivor Callely,Fianna Fail,11190,0.25920000000000004,1.30,1,Made Quota,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,TD,1
Seán Haughey,Fianna Fail,7670,0.1777,0.89,2,Made Quota,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,TD,2
Richard Bruton,Fine Gael,8196,0.18989999999999999,0.95,5,Made Quota,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,TD,3
Derek McDowell,Labour,2848,0.066,0.33,11,Elected,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,TD,4
Seán Loftus,Non party/Independent,2485,0.0576,0.29,(11),Not Elected,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
Ita Green,Fianna Fail,1184,0.0274,0.14,(10),Eliminated,Female,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
Niamh Cosgrave,Fine Gael,1713,0.0397,0.20,(9),Eliminated,Female,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
Stephen Rawson,Green/Comhaontas Glas,1650,0.0382,0.19,(8),Eliminated,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
Finian McGrath,Non party/Independent,1551,0.0359,0.18,(7),Lost Deposit,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
Ronan Garvey,Progressive Democrats,1424,0.033,0.16,(6),Lost Deposit,Male,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
Cathy Fay,Fine Gael,1326,0.030699999999999998,0.15,(5),Lost Deposit,Female,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
Helen Lahert,Democratic Left,1194,0.0277,0.14,(4),Lost Deposit,Female,1997-06-06,66559,14,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,8634,,
